Rule	ID	Consequent	TP	FP	TN	FN	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
0	1676949168	0	0	0	5	17	0.227273	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
1	2046502898	0	8	2	3	9	0.500000	0.535294	0.800000	0.454545	0.400000	0.531369	1.176471	1.000000	0.421053	0.070588	0.363636	0.600000	0.470588	0.012397	0.535294	
2	2090176466	0	4	1	4	13	0.363636	0.517647	0.800000	0.227273	0.200000	0.433861	1.176471	1.000000	0.222222	0.035294	0.181818	0.800000	0.235294	0.006198	0.517647	
3	1742293372	0	5	1	4	12	0.409091	0.547059	0.833333	0.272727	0.200000	0.485071	1.470588	1.000000	0.277778	0.094118	0.227273	0.800000	0.294118	0.016529	0.547059	
4	227691370	0	5	1	4	12	0.409091	0.547059	0.833333	0.272727	0.200000	0.485071	1.470588	1.000000	0.277778	0.094118	0.227273	0.800000	0.294118	0.016529	0.547059	
5	285264778	0	4	1	4	13	0.363636	0.517647	0.800000	0.227273	0.200000	0.433861	1.176471	1.000000	0.222222	0.035294	0.181818	0.800000	0.235294	0.006198	0.517647	
6	896088794	0	4	1	4	13	0.363636	0.517647	0.800000	0.227273	0.200000	0.433861	1.176471	1.000000	0.222222	0.035294	0.181818	0.800000	0.235294	0.006198	0.517647	
7	1980120792	0	4	1	4	13	0.363636	0.517647	0.800000	0.227273	0.200000	0.433861	1.176471	1.000000	0.222222	0.035294	0.181818	0.800000	0.235294	0.006198	0.517647	
8	1547208074	0	5	1	4	12	0.409091	0.547059	0.833333	0.272727	0.200000	0.485071	1.470588	1.000000	0.277778	0.094118	0.227273	0.800000	0.294118	0.016529	0.547059	
9	544952300	0	17	4	1	0	0.818182	0.600000	0.809524	0.954545	0.800000	0.447214	1.250000	1.000000	0.809524	0.200000	0.772727	0.200000	1.000000	0.035124	0.600000	
10	1503100569	1	3	11	6	2	0.409091	0.476471	0.214286	0.636364	0.647059	0.460179	0.927273	0.000000	0.187500	-0.047059	0.136364	0.352941	0.600000	-0.008264	0.476471	
11	-1867742803	1	3	10	7	2	0.454545	0.505882	0.230769	0.590909	0.588235	0.497050	1.020000	1.000000	0.200000	0.011765	0.136364	0.411765	0.600000	0.002066	0.505882	
12	1439352610	1	1	4	13	4	0.636364	0.482353	0.200000	0.227273	0.235294	0.391077	0.850000	0.000000	0.111111	-0.035294	0.045455	0.764706	0.200000	-0.006198	0.482353	
13	438905448	1	2	2	15	3	0.772727	0.641176	0.500000	0.181818	0.117647	0.594089	3.400000	1.000000	0.285714	0.282353	0.090909	0.882353	0.400000	0.049587	0.641176	
14	-1564538949	1	3	12	5	2	0.363636	0.447059	0.200000	0.681818	0.705882	0.420084	0.850000	0.000000	0.176471	-0.105882	0.136364	0.294118	0.600000	-0.018595	0.447059	
15	-141153061	1	2	8	9	3	0.500000	0.464706	0.200000	0.454545	0.470588	0.460179	0.850000	0.000000	0.153846	-0.070588	0.090909	0.529412	0.400000	-0.012397	0.464706	
16	-2052061102	1	0	1	16	5	0.727273	0.470588	0.000000	0.045455	0.058824	0.000000	0.000000	0.000000	0.000000	-0.058824	0.000000	0.941176	0.000000	-0.010331	0.470588	
17	10460830	1	3	10	7	2	0.454545	0.505882	0.230769	0.590909	0.588235	0.497050	1.020000	1.000000	0.200000	0.011765	0.136364	0.411765	0.600000	0.002066	0.505882	
18	1006197530	1	3	15	2	2	0.227273	0.358824	0.166667	0.818182	0.882353	0.265684	0.680000	0.000000	0.150000	-0.282353	0.136364	0.117647	0.600000	-0.049587	0.358824	
19	-113695264	1	3	9	8	2	0.500000	0.535294	0.250000	0.545455	0.529412	0.531369	1.133333	1.000000	0.214286	0.070588	0.136364	0.470588	0.600000	0.012397	0.535294	
20	-281167231	1	0	1	16	5	0.727273	0.470588	0.000000	0.045455	0.058824	0.000000	0.000000	0.000000	0.000000	-0.058824	0.000000	0.941176	0.000000	-0.010331	0.470588	
21	35046954	1	2	11	6	3	0.363636	0.376471	0.153846	0.590909	0.647059	0.375735	0.618182	0.000000	0.125000	-0.247059	0.090909	0.352941	0.400000	-0.043388	0.376471	
22	-835214178	1	2	2	15	3	0.772727	0.641176	0.500000	0.181818	0.117647	0.594089	3.400000	1.000000	0.285714	0.282353	0.090909	0.882353	0.400000	0.049587	0.641176	
23	-301269703	1	3	10	7	2	0.454545	0.505882	0.230769	0.590909	0.588235	0.497050	1.020000	1.000000	0.200000	0.011765	0.136364	0.411765	0.600000	0.002066	0.505882	
