@relation bands
@attribute Proof_cut NUMERIC [25.0,72.5]
@attribute Viscosity INTEGER [35,72]
@attribute Caliper NUMERIC [0.133,0.533]
@attribute Ink_temperature NUMERIC [11.2,24.5]
@attribute Humifity INTEGER [57,105]
@attribute Roughness NUMERIC [0.056,1.25]
@attribute Blade_pressure INTEGER [16,70]
@attribute Varnish_pct NUMERIC
@attribute Press_speed INTEGER
@attribute Ink_pct NUMERIC [41.0,76.9]
@attribute Solvent_pct NUMERIC [22.0,53.4]
@attribute Esa_voltage NUMERIC
@attribute ESA_amperage NUMERIC
@attribute Wax NUMERIC
@attribute Hardener NUMERIC
@attribute Roller_durometer NUMERIC [28.0,60.0]
@attribute Density INTEGER [30,45]
@attribute Anode_ratio NUMERIC [83.33,117.86]
@attribute Chrome_content INTEGER [90,100]
@attribute Band_type {band,noband}
@data
40.0,39,0.2,15.0,83,0.625,30,0.0,2000,58.1,41.9,1.0,0.0,2.5,0.6,35.0,40,100.0,100,band
50.0,43,0.267,17.0,72,0.625,30,14.3,1600,47.6,38.1,0.0,0.0,2.5,1.0,34.0,40,96.77,100,band
50.0,42,0.3,17.0,88,0.75,30,0.0,1600,62.5,27.5,5.0,0.0,2.6,1.0,38.0,40,106.25,100,band
40.0,68,0.2,14.8,90,1.0,30,0.0,1440,58.8,41.2,0.0,0.0,2.5,1.0,40.0,40,103.13,100,band
40.0,63,0.233,15.8,80,0.75,30,10.5,2000,52.6,36.9,0.0,0.0,3.0,1.0,33.0,40,109.7,100,band
47.5,52,0.3,15.2,76,0.75,30,17.5,1700,48.7,33.8,0.0,0.0,2.5,0.8,35.0,40,114.3,100,band
55.0,61,0.283,21.0,78,1.0,28,0.0,1500,58.8,41.2,3.0,0.0,2.5,0.7,35.0,40,100.0,100,band
37.5,42,0.2,16.0,70,0.375,28,0.0,2400,58.8,41.2,3.0,0.0,3.0,0.8,30.0,40,106.45,100,band
40.0,54,0.267,22.2,77,0.625,32,6.25,1000,56.25,37.5,0.0,0.0,3.0,1.2,40.0,40,106.45,100,band
55.0,50,0.2,17.0,78,0.25,32,9.7,1900,52.2,38.1,0.0,0.0,3.0,0.9,35.0,40,96.97,90,band
52.0,64,0.4,15.5,82,0.625,30,0.0,1800,71.4,28.6,4.0,0.0,2.5,0.9,34.0,40,103.125,100,band
55.0,48,0.367,14.5,76,0.5,30,8.0,2000,60.0,32.0,0.0,0.0,2.5,1.0,35.0,40,93.55,90,band
50.0,42,0.233,15.0,90,1.0,35,0.0,1650,55.5,44.5,0.0,0.0,2.5,1.0,38.0,40,100.0,100,band
40.0,50,0.233,14.0,70,0.75,45,0.0,1800,60.2,39.8,0.0,0.0,2.5,1.0,40.0,40,100.0,100,band
67.5,50,0.167,16.5,73,0.875,20,18.1,1800,47.6,34.3,0.0,0.0,2.5,0.8,34.0,40,110.71,100,band
40.0,45,0.3,14.5,70,0.625,25,0.0,1500,59.5,40.5,0.0,0.0,2.0,1.0,40.0,40,100.0,100,band
40.0,51,0.233,15.0,70,0.25,24,0.5,0,59.5,40.0,0.0,0.0,3.0,1.0,35.0,40,100.0,100,band
65.0,43,0.2,16.0,78,0.75,30,12.0,2100,46.3,41.7,0.0,0.0,2.0,1.0,40.0,40,100.0,100,band
50.0,52,0.2,14.0,80,0.75,60,4.4,1700,54.9,40.7,0.0,0.0,2.5,1.0,40.0,33,100.0,100,band
50.0,40,0.2,15.2,78,1.0,24,0.0,1850,58.8,41.2,0.0,0.0,2.9,1.1,40.0,40,103.13,100,band
50.0,46,0.2,14.6,60,0.625,25,10.5,1750,52.6,36.8,2.0,0.0,2.4,0.8,28.0,40,96.97,100,band
