Rule	ID	Consequent	TP	FP	TN	FN	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
0	-615215543	0	0	0	46	27	0.630137	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
1	-1144448242	0	0	0	46	27	0.630137	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
2	1409385651	0	0	0	46	27	0.630137	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
3	1840187055	0	0	0	46	27	0.630137	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
4	-1663720993	0	0	0	46	27	0.630137	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
5	-2106309750	0	0	0	46	27	0.630137	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
6	1578422842	0	0	0	46	27	0.630137	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
7	-1860063627	0	0	0	46	27	0.630137	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
8	-1765000371	0	0	0	46	27	0.630137	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
9	311824227	0	0	0	46	27	0.630137	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
10	1783305761	0	0	0	46	27	0.630137	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
11	-1753750570	0	0	0	46	27	0.630137	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
12	-2120572727	0	0	0	46	27	0.630137	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
13	-12713344	0	0	0	46	27	0.630137	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
14	671485993	0	0	0	46	27	0.630137	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
15	1081975911	0	0	0	46	27	0.630137	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
16	424624563	0	0	0	46	27	0.630137	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
17	524466813	0	0	0	46	27	0.630137	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
18	823266295	0	0	0	46	27	0.630137	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
19	1457705752	1	4	1	26	42	0.410959	0.524960	0.800000	0.068493	0.037037	0.289372	2.347826	1.000000	0.085106	0.049919	0.054795	0.962963	0.086957	0.011634	0.524960	
20	195574473	1	0	0	27	46	0.369863	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
21	942185583	1	0	0	27	46	0.369863	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
22	-1424172575	1	0	0	27	46	0.369863	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
23	1625472061	1	0	0	27	46	0.369863	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
24	2090506570	1	0	0	27	46	0.369863	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
25	70841438	1	0	0	27	46	0.369863	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
26	855692752	1	0	0	27	46	0.369863	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
27	-1210775045	1	4	2	25	42	0.397260	0.506441	0.666667	0.082192	0.074074	0.283752	1.173913	1.000000	0.083333	0.012882	0.054795	0.925926	0.086957	0.003002	0.506441	
28	-1293645291	1	0	0	27	46	0.369863	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
29	327555452	1	0	0	27	46	0.369863	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
30	1442175587	1	0	0	27	46	0.369863	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
31	-338747060	1	0	0	27	46	0.369863	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
32	1919785753	1	0	0	27	46	0.369863	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
33	1794679162	1	0	0	27	46	0.369863	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
34	-762277583	1	0	0	27	46	0.369863	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
35	794079002	1	0	0	27	46	0.369863	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
