Rule	ID	Consequent	TP	FP	TN	FN	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
0	-740440745	0	18	21	19	11	0.536232	0.547845	0.461538	0.565217	0.525000	0.542980	1.182266	1.000000	0.360000	0.095690	0.260870	0.475000	0.620690	0.023314	0.547845	
1	-977067984	0	16	17	23	13	0.565217	0.563362	0.484848	0.478261	0.425000	0.563242	1.298174	1.000000	0.347826	0.126724	0.231884	0.575000	0.551724	0.030876	0.563362	
2	-1474689759	0	5	4	36	24	0.594203	0.536207	0.555556	0.130435	0.100000	0.393919	1.724138	1.000000	0.151515	0.072414	0.072464	0.900000	0.172414	0.017643	0.536207	
3	434125723	0	14	16	24	15	0.550725	0.541379	0.466667	0.434783	0.400000	0.538196	1.206897	1.000000	0.311111	0.082759	0.202899	0.600000	0.482759	0.020164	0.541379	
4	901978308	0	0	1	39	29	0.565217	0.487500	0.000000	0.014493	0.025000	0.000000	0.000000	0.000000	0.000000	-0.025000	0.000000	0.975000	0.000000	-0.006091	0.487500	
5	1837772835	0	1	1	39	28	0.579710	0.504741	0.500000	0.028986	0.025000	0.183359	1.379310	1.000000	0.033333	0.009483	0.014493	0.975000	0.034483	0.002310	0.504741	
6	2051619091	0	16	18	22	13	0.550725	0.550862	0.470588	0.492754	0.450000	0.550861	1.226054	1.000000	0.340426	0.101724	0.231884	0.550000	0.551724	0.024785	0.550862	
7	1250695633	0	14	17	23	15	0.536232	0.528879	0.451613	0.449275	0.425000	0.526865	1.135903	1.000000	0.304348	0.057759	0.202899	0.575000	0.482759	0.014073	0.528879	
8	-496753476	0	14	16	24	15	0.550725	0.541379	0.466667	0.434783	0.400000	0.538196	1.206897	1.000000	0.311111	0.082759	0.202899	0.600000	0.482759	0.020164	0.541379	
9	-39010764	0	16	17	23	13	0.565217	0.563362	0.484848	0.478261	0.425000	0.563242	1.298174	1.000000	0.347826	0.126724	0.231884	0.575000	0.551724	0.030876	0.563362	
10	-406392069	0	16	17	23	13	0.565217	0.563362	0.484848	0.478261	0.425000	0.563242	1.298174	1.000000	0.347826	0.126724	0.231884	0.575000	0.551724	0.030876	0.563362	
11	1478416295	0	14	17	23	15	0.536232	0.528879	0.451613	0.449275	0.425000	0.526865	1.135903	1.000000	0.304348	0.057759	0.202899	0.575000	0.482759	0.014073	0.528879	
12	767190543	0	2	3	37	27	0.565217	0.496983	0.400000	0.072464	0.075000	0.252573	0.919540	0.000000	0.062500	-0.006034	0.028986	0.925000	0.068966	-0.001470	0.496983	
13	849240815	0	15	19	21	14	0.521739	0.521121	0.441176	0.492754	0.475000	0.521106	1.088929	1.000000	0.312500	0.042241	0.217391	0.525000	0.517241	0.010292	0.521121	
