Rule	ID	Consequent	WRAcc_Norm	SuppDiff
0	-212932946	0	0.696429	0.392857	
1	1244954365	0	0.696429	0.392857	
2	1832401141	0	0.696429	0.392857	
3	-223562296	0	0.696429	0.392857	
4	1134575561	0	0.696429	0.392857	
5	1684800560	0	0.696429	0.392857	
6	-1207363672	0	0.696429	0.392857	
7	596478843	0	0.696429	0.392857	
8	1271722968	1	0.711012	0.422024	
9	1487853314	1	0.711012	0.422024	
10	1035611123	1	0.711012	0.422024	
11	-84759794	1	0.711012	0.422024	
12	-1543044941	1	0.711012	0.422024	
13	2118736364	1	0.711012	0.422024	
14	1960306943	1	0.711012	0.422024	
15	1893618682	1	0.711012	0.422024	
------	------	------	0.703720	0.407440
