Rule	ID	Consequent	TP	FP	TN	FN	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
0	260283564	0	11	4	56	129	0.335000	0.505952	0.733333	0.075000	0.066667	0.270801	1.178571	1.000000	0.076389	0.011905	0.055000	0.933333	0.078571	0.002500	0.505952	
1	1514606492	0	67	14	46	73	0.565000	0.622619	0.827160	0.405000	0.233333	0.605727	2.051020	1.000000	0.435065	0.245238	0.335000	0.766667	0.478571	0.051500	0.622619	
2	100916883	0	43	7	53	97	0.480000	0.595238	0.860000	0.250000	0.116667	0.520874	2.632653	1.000000	0.292517	0.190476	0.215000	0.883333	0.307143	0.040000	0.595238	
3	-243121678	0	69	14	46	71	0.575000	0.629762	0.831325	0.415000	0.233333	0.614701	2.112245	1.000000	0.448052	0.259524	0.345000	0.766667	0.492857	0.054500	0.629762	
4	684531545	0	0	0	60	140	0.300000	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
5	-529443495	0	26	7	53	114	0.395000	0.534524	0.787879	0.165000	0.116667	0.405028	1.591837	1.000000	0.176871	0.069048	0.130000	0.883333	0.185714	0.014500	0.534524	
6	733456079	0	69	14	46	71	0.575000	0.629762	0.831325	0.415000	0.233333	0.614701	2.112245	1.000000	0.448052	0.259524	0.345000	0.766667	0.492857	0.054500	0.629762	
7	932175495	0	1	1	59	139	0.300000	0.495238	0.500000	0.010000	0.016667	0.083808	0.428571	0.000000	0.007092	-0.009524	0.005000	0.983333	0.007143	-0.002000	0.495238	
8	554801898	1	36	40	100	24	0.680000	0.657143	0.473684	0.380000	0.285714	0.654654	2.100000	1.000000	0.360000	0.314286	0.180000	0.714286	0.600000	0.066000	0.657143	
9	1536026642	1	11	16	124	49	0.675000	0.534524	0.407407	0.135000	0.114286	0.402965	1.604167	1.000000	0.144737	0.069048	0.055000	0.885714	0.183333	0.014500	0.534524	
10	653975973	1	1	6	134	59	0.675000	0.486905	0.142857	0.035000	0.042857	0.126303	0.388889	0.000000	0.015152	-0.026190	0.005000	0.957143	0.016667	-0.005500	0.486905	
11	1203615358	1	4	15	125	56	0.645000	0.479762	0.210526	0.095000	0.107143	0.243975	0.622222	0.000000	0.053333	-0.040476	0.020000	0.892857	0.066667	-0.008500	0.479762	
12	-1880916389	1	14	23	117	46	0.655000	0.534524	0.378378	0.185000	0.164286	0.441588	1.420290	1.000000	0.168675	0.069048	0.070000	0.835714	0.233333	0.014500	0.534524	
13	556939598	1	29	28	112	31	0.705000	0.641667	0.508772	0.285000	0.200000	0.621825	2.416667	1.000000	0.329545	0.283333	0.145000	0.800000	0.483333	0.059500	0.641667	
14	-1964468119	1	37	44	96	23	0.665000	0.651190	0.456790	0.405000	0.314286	0.650275	1.962121	1.000000	0.355769	0.302381	0.185000	0.685714	0.616667	0.063500	0.651190	
15	-1636377179	1	9	15	125	51	0.670000	0.521429	0.375000	0.120000	0.107143	0.365963	1.400000	1.000000	0.120000	0.042857	0.045000	0.892857	0.150000	0.009000	0.521429	
