Rule	ID	Consequent	TP	FP	TN	FN	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
0	351954976	0	0	81	19	50	0.126667	0.095000	0.000000	0.540000	0.810000	0.000000	0.000000	0.000000	0.000000	-0.810000	0.000000	0.190000	0.000000	-0.180000	0.095000	
1	-1003758112	0	50	100	0	0	0.333333	0.500000	0.333333	1.000000	1.000000	0.000000	1.000000	0.000000	0.333333	0.000000	0.333333	0.000000	1.000000	0.000000	0.500000	
2	1347723517	0	0	89	11	50	0.073333	0.055000	0.000000	0.593333	0.890000	0.000000	0.000000	0.000000	0.000000	-0.890000	0.000000	0.110000	0.000000	-0.197778	0.055000	
3	458852957	0	49	99	1	1	0.333333	0.495000	0.331081	0.986667	0.990000	0.098995	0.989899	0.000000	0.328859	-0.010000	0.326667	0.010000	0.980000	-0.002222	0.495000	
4	455172547	0	50	99	1	0	0.340000	0.505000	0.335570	0.993333	0.990000	0.100000	1.010101	1.000000	0.335570	0.010000	0.333333	0.010000	1.000000	0.002222	0.505000	
5	-326465865	1	50	89	11	0	0.406667	0.555000	0.359712	0.926667	0.890000	0.331662	1.123596	1.000000	0.359712	0.110000	0.333333	0.110000	1.000000	0.024444	0.555000	
6	1210883150	1	22	37	63	28	0.566667	0.535000	0.372881	0.393333	0.370000	0.526498	1.189189	1.000000	0.252874	0.070000	0.146667	0.630000	0.440000	0.015556	0.535000	
7	-654092654	1	11	50	50	39	0.406667	0.360000	0.180328	0.406667	0.500000	0.331662	0.440000	0.000000	0.110000	-0.280000	0.073333	0.500000	0.220000	-0.062222	0.360000	
8	1103267083	1	49	99	1	1	0.333333	0.495000	0.331081	0.986667	0.990000	0.098995	0.989899	0.000000	0.328859	-0.010000	0.326667	0.010000	0.980000	-0.002222	0.495000	
9	213935236	1	50	99	1	0	0.340000	0.505000	0.335570	0.993333	0.990000	0.100000	1.010101	1.000000	0.335570	0.010000	0.333333	0.010000	1.000000	0.002222	0.505000	
10	925943827	2	49	22	78	1	0.846667	0.880000	0.690141	0.473333	0.220000	0.874300	4.454545	1.000000	0.680556	0.760000	0.326667	0.780000	0.980000	0.168889	0.880000	
11	1669036207	2	0	64	36	50	0.240000	0.180000	0.000000	0.426667	0.640000	0.000000	0.000000	0.000000	0.000000	-0.640000	0.000000	0.360000	0.000000	-0.142222	0.180000	
12	942305373	2	0	65	35	50	0.233333	0.175000	0.000000	0.433333	0.650000	0.000000	0.000000	0.000000	0.000000	-0.650000	0.000000	0.350000	0.000000	-0.144444	0.175000	
13	-860047056	2	50	21	79	0	0.860000	0.895000	0.704225	0.473333	0.210000	0.888819	4.761905	1.000000	0.704225	0.790000	0.333333	0.790000	1.000000	0.175556	0.895000	
14	-930587932	2	47	94	6	3	0.353333	0.500000	0.333333	0.940000	0.940000	0.237487	1.000000	0.000000	0.326389	0.000000	0.313333	0.060000	0.940000	0.000000	0.500000	
15	-274915195	2	50	94	6	0	0.373333	0.530000	0.347222	0.960000	0.940000	0.244949	1.063830	1.000000	0.347222	0.060000	0.333333	0.060000	1.000000	0.013333	0.530000	
16	1001312438	2	0	65	35	50	0.233333	0.175000	0.000000	0.433333	0.650000	0.000000	0.000000	0.000000	0.000000	-0.650000	0.000000	0.350000	0.000000	-0.144444	0.175000	
17	1131505151	2	0	62	38	50	0.253333	0.190000	0.000000	0.413333	0.620000	0.000000	0.000000	0.000000	0.000000	-0.620000	0.000000	0.380000	0.000000	-0.137778	0.190000	
