Rule	ID	Consequent	TP	FP	TN	FN	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
0	293619404	0	7	0	20	3	0,900000	0,850000	1,000000	0,233333	0,000000	0,836660	INFINITY	1,000000	0,700000	0,700000	0,233333	1,000000	0,700000	0,155556	0,850000	
1	-771186434	0	8	18	2	2	0,333333	0,450000	0,307692	0,866667	0,900000	0,282843	0,888889	0,000000	0,285714	-0,100000	0,266667	0,100000	0,800000	-0,022222	0,450000	
2	-1146318050	0	9	1	19	1	0,933333	0,925000	0,900000	0,333333	0,050000	0,924662	18,000000	1,000000	0,818182	0,850000	0,300000	0,950000	0,900000	0,188889	0,925000	
3	-307008084	0	9	1	19	1	0,933333	0,925000	0,900000	0,333333	0,050000	0,924662	18,000000	1,000000	0,818182	0,850000	0,300000	0,950000	0,900000	0,188889	0,925000	
4	1117288022	0	9	4	16	1	0,833333	0,850000	0,692308	0,433333	0,200000	0,848528	4,500000	1,000000	0,642857	0,700000	0,300000	0,800000	0,900000	0,155556	0,850000	
5	-445206052	0	8	4	16	2	0,800000	0,800000	0,666667	0,400000	0,200000	0,800000	4,000000	1,000000	0,571429	0,600000	0,266667	0,800000	0,800000	0,133333	0,800000	
6	755009274	0	8	4	16	2	0,800000	0,800000	0,666667	0,400000	0,200000	0,800000	4,000000	1,000000	0,571429	0,600000	0,266667	0,800000	0,800000	0,133333	0,800000	
7	980125416	0	0	15	5	10	0,166667	0,125000	0,000000	0,500000	0,750000	0,000000	0,000000	0,000000	0,000000	-0,750000	0,000000	0,250000	0,000000	-0,166667	0,125000	
8	390418780	0	9	1	19	1	0,933333	0,925000	0,900000	0,333333	0,050000	0,924662	18,000000	1,000000	0,818182	0,850000	0,300000	0,950000	0,900000	0,188889	0,925000	
9	-937440062	0	9	5	15	1	0,800000	0,825000	0,642857	0,466667	0,250000	0,821584	3,600000	1,000000	0,600000	0,650000	0,300000	0,750000	0,900000	0,144444	0,825000	
10	-707330749	0	8	16	4	2	0,400000	0,500000	0,333333	0,800000	0,800000	0,400000	1,000000	0,000000	0,307692	0,000000	0,266667	0,200000	0,800000	0,000000	0,500000	
11	-206995701	0	8	20	0	2	0,266667	0,400000	0,285714	0,933333	1,000000	0,000000	0,800000	0,000000	0,266667	-0,200000	0,266667	0,000000	0,800000	-0,044444	0,400000	
12	-188356021	0	8	4	16	2	0,800000	0,800000	0,666667	0,400000	0,200000	0,800000	4,000000	1,000000	0,571429	0,600000	0,266667	0,800000	0,800000	0,133333	0,800000	
