Rule	ID	Consequent	WRAcc_Norm	SuppDiff
0	-1163438041	0	0.787338	0.574675	
1	-1135314083	0	0.787338	0.574675	
2	-2010307102	0	0.787338	0.574675	
3	-819850067	0	0.787338	0.574675	
4	1796584361	0	0.787338	0.574675	
5	914194553	0	0.787338	0.574675	
6	-83264455	0	0.787338	0.574675	
7	-1122119899	0	0.787338	0.574675	
8	1496001390	0	0.787338	0.574675	
9	-2039946786	0	0.787338	0.574675	
10	-2138683103	0	0.787338	0.574675	
11	-1810071579	0	0.787338	0.574675	
12	196993460	1	0.728896	0.457792	
13	1028668105	1	0.728896	0.457792	
14	-941809702	1	0.728896	0.457792	
15	40140851	1	0.728896	0.457792	
16	1156589555	1	0.728896	0.457792	
17	-1754756195	1	0.728896	0.457792	
18	1739490199	1	0.728896	0.457792	
19	1832620180	1	0.728896	0.457792	
20	1910367907	1	0.728896	0.457792	
21	-1495791163	1	0.728896	0.457792	
22	-1898179475	1	0.728896	0.457792	
23	-1633827769	1	0.728896	0.457792	
24	251863573	1	0.728896	0.457792	
25	-451231614	1	0.728896	0.457792	
------	------	------	0.755869	0.511738
