@relation sonar
@attribute Band1 NUMERIC [0.002,0.137]
@attribute Band2 NUMERIC [0.001,0.234]
@attribute Band3 NUMERIC [0.002,0.306]
@attribute Band4 NUMERIC [0.006,0.426]
@attribute Band5 NUMERIC [0.007,0.401]
@attribute Band6 NUMERIC [0.01,0.382]
@attribute Band7 NUMERIC [0.003,0.373]
@attribute Band8 NUMERIC [0.006,0.459]
@attribute Band9 NUMERIC [0.008,0.683]
@attribute Band10 NUMERIC [0.011,0.711]
@attribute Band11 NUMERIC [0.029,0.734]
@attribute Band12 NUMERIC [0.024,0.706]
@attribute Band13 NUMERIC [0.018,0.713]
@attribute Band14 NUMERIC [0.027,0.997]
@attribute Band15 NUMERIC [0.003,1.0]
@attribute Band16 NUMERIC [0.016,0.999]
@attribute Band17 NUMERIC [0.035,1.0]
@attribute Band18 NUMERIC [0.038,1.0]
@attribute Band19 NUMERIC [0.049,1.0]
@attribute Band20 NUMERIC [0.066,1.0]
@attribute Band21 NUMERIC [0.051,1.0]
@attribute Band22 NUMERIC [0.022,1.0]
@attribute Band23 NUMERIC [0.056,1.0]
@attribute Band24 NUMERIC [0.024,1.0]
@attribute Band25 NUMERIC [0.024,1.0]
@attribute Band26 NUMERIC [0.092,1.0]
@attribute Band27 NUMERIC [0.048,1.0]
@attribute Band28 NUMERIC [0.028,1.0]
@attribute Band29 NUMERIC [0.014,1.0]
@attribute Band30 NUMERIC [0.061,1.0]
@attribute Band31 NUMERIC [0.048,0.966]
@attribute Band32 NUMERIC [0.04,0.931]
@attribute Band33 NUMERIC [0.048,1.0]
@attribute Band34 NUMERIC [0.021,0.965]
@attribute Band35 NUMERIC [0.022,1.0]
@attribute Band36 NUMERIC [0.008,1.0]
@attribute Band37 NUMERIC [0.035,0.95]
@attribute Band38 NUMERIC [0.038,1.0]
@attribute Band39 NUMERIC [0.037,0.986]
@attribute Band40 NUMERIC [0.012,0.93]
@attribute Band41 NUMERIC [0.036,0.9]
@attribute Band42 NUMERIC [0.006,0.825]
@attribute Band43 NUMERIC
@attribute Band44 NUMERIC
@attribute Band45 NUMERIC
@attribute Band46 NUMERIC
@attribute Band47 NUMERIC
@attribute Band48 NUMERIC
@attribute Band49 NUMERIC
@attribute Band50 NUMERIC
@attribute Band51 NUMERIC
@attribute Band52 NUMERIC [0.001,0.071]
@attribute Band53 NUMERIC
@attribute Band54 NUMERIC [0.001,0.035]
@attribute Band55 NUMERIC [0.001,0.045]
@attribute Band56 NUMERIC
@attribute Band57 NUMERIC
@attribute Band58 NUMERIC
@attribute Band59 NUMERIC
@attribute Band60 NUMERIC [0.001,0.044]
@attribute Type {R,M}
@data
0.0070,0.01,0.014,0.049,0.025,0.081,0.07,0.074,0.012,0.09,0.029,0.155,0.144,0.104,0.142,0.123,0.089,0.205,0.083,0.152,0.303,0.161,0.067,0.143,0.04,0.165,0.34,0.486,0.521,0.551,0.61,0.599,0.676,0.89,1.0,0.952,0.846,0.707,0.67,0.633,0.51,0.416,0.282,0.17,0.142,0.097,0.088,0.086,0.036,0.023,0.025,0.0040,0.0050,0.0080,0.012,0.01,0.0050,0.0030,0.0070,0.0060,R
0.036,0.163,0.164,0.142,0.113,0.131,0.211,0.227,0.299,0.374,0.304,0.039,0.268,0.54,0.62,0.726,0.835,0.689,0.445,0.392,0.56,0.754,0.831,1.0,0.876,0.709,0.701,0.501,0.394,0.446,0.407,0.077,0.142,0.04,0.36,0.685,0.708,0.36,0.061,0.303,0.397,0.387,0.238,0.206,0.229,0.17,0.159,0.179,0.102,0.015,0.022,0.011,0.0070,0.02,0.016,0.0060,0.0080,0.0090,0.011,0.0070,R
0.013,0.052,0.062,0.052,0.107,0.259,0.23,0.207,0.342,0.428,0.302,0.121,0.33,0.571,0.696,0.975,1.0,0.929,0.621,0.459,0.5,0.503,0.708,0.842,0.811,0.769,0.81,0.62,0.236,0.26,0.63,0.676,0.29,0.439,0.853,0.718,0.48,0.586,0.499,0.287,0.06,0.117,0.274,0.281,0.208,0.066,0.049,0.034,0.017,0.029,0.0030,0.021,0.0050,0.02,0.013,0.0020,0.0040,0.0030,0.011,0.0080,R
0.026,0.045,0.039,0.024,0.132,0.132,0.161,0.214,0.085,0.056,0.089,0.086,0.153,0.152,0.185,0.287,0.201,0.275,0.502,0.217,0.498,0.526,0.365,0.577,0.516,0.572,0.401,0.365,0.668,0.866,0.805,0.408,0.338,0.509,0.678,0.731,0.606,0.704,0.885,0.898,0.775,0.725,0.773,0.776,0.601,0.451,0.31,0.186,0.096,0.021,0.021,0.01,0.015,0.01,0.013,0.02,0.0020,0.02,0.026,0.018,R
0.012,0.015,0.022,0.018,0.036,0.07,0.087,0.062,0.125,0.13,0.089,0.05,0.063,0.127,0.08,0.074,0.205,0.295,0.319,0.457,0.596,0.71,0.822,0.842,0.906,0.98,1.0,0.875,0.758,0.662,0.579,0.513,0.478,0.499,0.52,0.507,0.458,0.35,0.184,0.189,0.197,0.104,0.055,0.049,0.062,0.05,0.025,0.022,0.01,0.0050,0.0020,0.0040,0.0070,0.0030,0.0050,0.0050,0.0020,0.0040,0.0090,0.0060,R
0.027,0.0090,0.014,0.028,0.041,0.076,0.103,0.114,0.079,0.152,0.168,0.137,0.136,0.134,0.214,0.535,0.683,0.56,0.309,0.323,0.443,0.557,0.578,0.617,0.813,0.982,0.982,0.917,0.742,0.774,0.847,0.735,0.667,0.608,0.624,0.597,0.572,0.524,0.292,0.154,0.2,0.203,0.221,0.178,0.135,0.137,0.075,0.047,0.032,0.018,0.0040,0.0080,0.0010,0.0020,0.0070,0.0040,0.012,0.013,0.0070,0.0090,R
0.013,0.0080,0.019,0.014,0.044,0.067,0.061,0.013,0.09,0.092,0.144,0.148,0.209,0.256,0.26,0.198,0.239,0.313,0.408,0.453,0.489,0.567,0.623,0.674,0.828,0.882,0.92,0.896,0.755,0.674,0.646,0.501,0.366,0.23,0.136,0.212,0.24,0.267,0.286,0.206,0.166,0.263,0.255,0.17,0.147,0.129,0.093,0.072,0.032,0.026,0.014,0.0040,0.0030,0.0020,0.0020,0.0050,0.014,0.014,0.0030,0.0060,R
0.022,0.034,0.039,0.024,0.108,0.116,0.14,0.101,0.115,0.178,0.408,0.411,0.397,0.508,0.651,0.807,0.982,1.0,0.941,0.845,0.811,0.846,0.621,0.582,0.774,0.82,0.56,0.299,0.501,0.663,0.575,0.406,0.375,0.348,0.158,0.142,0.213,0.187,0.1,0.24,0.224,0.203,0.071,0.161,0.167,0.17,0.183,0.14,0.051,0.022,0.01,0.0030,0.01,0.0080,0.0080,0.0090,0.0030,0.0030,0.0010,0.0070,R
0.013,0.015,0.064,0.173,0.256,0.256,0.295,0.411,0.498,0.592,0.583,0.542,0.547,0.531,0.498,0.698,0.829,0.784,0.822,0.936,1.0,0.922,0.784,0.547,0.456,0.592,0.545,0.397,0.088,0.238,0.2,0.059,0.254,0.201,0.033,0.155,0.121,0.245,0.317,0.32,0.305,0.084,0.127,0.138,0.114,0.052,0.0070,0.028,0.037,0.012,0.015,0.0090,0.0040,0.01,0.012,0.0010,0.018,0.0090,0.012,0.0060,R
0.019,0.0040,0.064,0.045,0.033,0.069,0.09,0.145,0.074,0.035,0.146,0.347,0.32,0.282,0.017,0.057,0.216,0.456,0.382,0.563,0.648,0.724,0.824,0.877,1.0,0.858,0.656,0.509,0.482,0.453,0.452,0.453,0.538,0.531,0.536,0.527,0.426,0.244,0.12,0.384,0.411,0.507,0.422,0.248,0.159,0.112,0.065,0.079,0.032,0.0070,0.0030,0.0090,0.012,0.011,0.0090,0.014,0.0070,0.0020,0.0060,0.012,R
