Rule	ID	Consequent	TP	FP	TN	FN	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
0	2079868998	0	6	7	16	14	0.511628	0.497826	0.461538	0.302326	0.304348	0.456832	0.985714	0.000000	0.222222	-0.004348	0.139535	0.695652	0.300000	-0.001082	0.497826	
1	20108783	0	6	7	16	14	0.511628	0.497826	0.461538	0.302326	0.304348	0.456832	0.985714	0.000000	0.222222	-0.004348	0.139535	0.695652	0.300000	-0.001082	0.497826	
2	57508139	0	4	5	18	16	0.511628	0.491304	0.444444	0.209302	0.217391	0.395628	0.920000	0.000000	0.160000	-0.017391	0.093023	0.782609	0.200000	-0.004327	0.491304	
3	-1659759363	0	4	4	19	16	0.534884	0.513043	0.500000	0.186047	0.173913	0.406469	1.150000	1.000000	0.166667	0.026087	0.093023	0.826087	0.200000	0.006490	0.513043	
4	-288255534	0	7	7	16	13	0.534884	0.522826	0.500000	0.325581	0.304348	0.493435	1.150000	1.000000	0.259259	0.045652	0.162791	0.695652	0.350000	0.011357	0.522826	
5	761839908	0	7	7	16	13	0.534884	0.522826	0.500000	0.325581	0.304348	0.493435	1.150000	1.000000	0.259259	0.045652	0.162791	0.695652	0.350000	0.011357	0.522826	
6	-1579500722	0	7	7	16	13	0.534884	0.522826	0.500000	0.325581	0.304348	0.493435	1.150000	1.000000	0.259259	0.045652	0.162791	0.695652	0.350000	0.011357	0.522826	
7	975065400	0	7	7	16	13	0.534884	0.522826	0.500000	0.325581	0.304348	0.493435	1.150000	1.000000	0.259259	0.045652	0.162791	0.695652	0.350000	0.011357	0.522826	
8	1696988519	0	7	7	16	13	0.534884	0.522826	0.500000	0.325581	0.304348	0.493435	1.150000	1.000000	0.259259	0.045652	0.162791	0.695652	0.350000	0.011357	0.522826	
9	-1242969197	0	8	7	16	12	0.558140	0.547826	0.533333	0.348837	0.304348	0.527504	1.314286	1.000000	0.296296	0.095652	0.186047	0.695652	0.400000	0.023797	0.547826	
10	2037529027	0	7	7	16	13	0.534884	0.522826	0.500000	0.325581	0.304348	0.493435	1.150000	1.000000	0.259259	0.045652	0.162791	0.695652	0.350000	0.011357	0.522826	
11	462795992	0	7	6	17	13	0.558140	0.544565	0.538462	0.302326	0.260870	0.508621	1.341667	1.000000	0.269231	0.089130	0.162791	0.739130	0.350000	0.022174	0.544565	
12	544536495	0	7	6	17	13	0.558140	0.544565	0.538462	0.302326	0.260870	0.508621	1.341667	1.000000	0.269231	0.089130	0.162791	0.739130	0.350000	0.022174	0.544565	
13	1430516833	0	7	7	16	13	0.534884	0.522826	0.500000	0.325581	0.304348	0.493435	1.150000	1.000000	0.259259	0.045652	0.162791	0.695652	0.350000	0.011357	0.522826	
14	427276093	0	8	7	16	12	0.558140	0.547826	0.533333	0.348837	0.304348	0.527504	1.314286	1.000000	0.296296	0.095652	0.186047	0.695652	0.400000	0.023797	0.547826	
15	1910667714	0	7	6	17	13	0.558140	0.544565	0.538462	0.302326	0.260870	0.508621	1.341667	1.000000	0.269231	0.089130	0.162791	0.739130	0.350000	0.022174	0.544565	
16	-252298190	0	0	1	22	20	0.511628	0.478261	0.000000	0.023256	0.043478	0.000000	0.000000	0.000000	0.000000	-0.043478	0.000000	0.956522	0.000000	-0.010817	0.478261	
17	1534926935	0	7	7	16	13	0.534884	0.522826	0.500000	0.325581	0.304348	0.493435	1.150000	1.000000	0.259259	0.045652	0.162791	0.695652	0.350000	0.011357	0.522826	
18	-1900084053	0	7	7	16	13	0.534884	0.522826	0.500000	0.325581	0.304348	0.493435	1.150000	1.000000	0.259259	0.045652	0.162791	0.695652	0.350000	0.011357	0.522826	
19	1557648497	0	8	7	16	12	0.558140	0.547826	0.533333	0.348837	0.304348	0.527504	1.314286	1.000000	0.296296	0.095652	0.186047	0.695652	0.400000	0.023797	0.547826	
20	930014874	0	0	1	22	20	0.511628	0.478261	0.000000	0.023256	0.043478	0.000000	0.000000	0.000000	0.000000	-0.043478	0.000000	0.956522	0.000000	-0.010817	0.478261	
21	2108675156	0	7	7	16	13	0.534884	0.522826	0.500000	0.325581	0.304348	0.493435	1.150000	1.000000	0.259259	0.045652	0.162791	0.695652	0.350000	0.011357	0.522826	
22	28956007	0	8	8	15	12	0.534884	0.526087	0.500000	0.372093	0.347826	0.510754	1.150000	1.000000	0.285714	0.052174	0.186047	0.652174	0.400000	0.012980	0.526087	
23	1218491358	0	7	7	16	13	0.534884	0.522826	0.500000	0.325581	0.304348	0.493435	1.150000	1.000000	0.259259	0.045652	0.162791	0.695652	0.350000	0.011357	0.522826	
24	556595461	0	7	7	16	13	0.534884	0.522826	0.500000	0.325581	0.304348	0.493435	1.150000	1.000000	0.259259	0.045652	0.162791	0.695652	0.350000	0.011357	0.522826	
25	-308880499	0	7	7	16	13	0.534884	0.522826	0.500000	0.325581	0.304348	0.493435	1.150000	1.000000	0.259259	0.045652	0.162791	0.695652	0.350000	0.011357	0.522826	
26	-2120932670	0	7	7	16	13	0.534884	0.522826	0.500000	0.325581	0.304348	0.493435	1.150000	1.000000	0.259259	0.045652	0.162791	0.695652	0.350000	0.011357	0.522826	
27	-12256559	0	2	0	23	18	0.581395	0.550000	1.000000	0.046512	0.000000	0.316228	INFINITY	1.000000	0.100000	0.100000	0.046512	1.000000	0.100000	0.024878	0.550000	
28	-681291280	0	7	7	16	13	0.534884	0.522826	0.500000	0.325581	0.304348	0.493435	1.150000	1.000000	0.259259	0.045652	0.162791	0.695652	0.350000	0.011357	0.522826	
29	-2024087170	0	6	7	16	14	0.511628	0.497826	0.461538	0.302326	0.304348	0.456832	0.985714	0.000000	0.222222	-0.004348	0.139535	0.695652	0.300000	-0.001082	0.497826	
30	-1594929320	0	5	8	15	15	0.465116	0.451087	0.384615	0.302326	0.347826	0.403786	0.718750	0.000000	0.178571	-0.097826	0.116279	0.652174	0.250000	-0.024337	0.451087	
31	175968193	0	7	7	16	13	0.534884	0.522826	0.500000	0.325581	0.304348	0.493435	1.150000	1.000000	0.259259	0.045652	0.162791	0.695652	0.350000	0.011357	0.522826	
32	895249054	0	6	8	15	14	0.488372	0.476087	0.428571	0.325581	0.347826	0.442326	0.862500	0.000000	0.214286	-0.047826	0.139535	0.652174	0.300000	-0.011898	0.476087	
33	164252614	0	7	7	16	13	0.534884	0.522826	0.500000	0.325581	0.304348	0.493435	1.150000	1.000000	0.259259	0.045652	0.162791	0.695652	0.350000	0.011357	0.522826	
34	-615181365	0	7	7	16	13	0.534884	0.522826	0.500000	0.325581	0.304348	0.493435	1.150000	1.000000	0.259259	0.045652	0.162791	0.695652	0.350000	0.011357	0.522826	
35	-1785895158	0	7	7	16	13	0.534884	0.522826	0.500000	0.325581	0.304348	0.493435	1.150000	1.000000	0.259259	0.045652	0.162791	0.695652	0.350000	0.011357	0.522826	
36	-1570982930	0	7	8	15	13	0.511628	0.501087	0.466667	0.348837	0.347826	0.477767	1.006250	1.000000	0.250000	0.002174	0.162791	0.652174	0.350000	0.000541	0.501087	
37	-1055374496	0	6	7	16	14	0.511628	0.497826	0.461538	0.302326	0.304348	0.456832	0.985714	0.000000	0.222222	-0.004348	0.139535	0.695652	0.300000	-0.001082	0.497826	
38	-504795778	0	0	1	22	20	0.511628	0.478261	0.000000	0.023256	0.043478	0.000000	0.000000	0.000000	0.000000	-0.043478	0.000000	0.956522	0.000000	-0.010817	0.478261	
39	-1038132881	0	7	7	16	13	0.534884	0.522826	0.500000	0.325581	0.304348	0.493435	1.150000	1.000000	0.259259	0.045652	0.162791	0.695652	0.350000	0.011357	0.522826	
40	1935618336	0	3	4	19	17	0.511628	0.488043	0.428571	0.162791	0.173913	0.352013	0.862500	0.000000	0.125000	-0.023913	0.069767	0.826087	0.150000	-0.005949	0.488043	
41	-148264498	0	6	7	16	14	0.511628	0.497826	0.461538	0.302326	0.304348	0.456832	0.985714	0.000000	0.222222	-0.004348	0.139535	0.695652	0.300000	-0.001082	0.497826	
42	-966729580	0	7	7	16	13	0.534884	0.522826	0.500000	0.325581	0.304348	0.493435	1.150000	1.000000	0.259259	0.045652	0.162791	0.695652	0.350000	0.011357	0.522826	
43	839826248	0	6	7	16	14	0.511628	0.497826	0.461538	0.302326	0.304348	0.456832	0.985714	0.000000	0.222222	-0.004348	0.139535	0.695652	0.300000	-0.001082	0.497826	
44	-583635447	0	7	8	15	13	0.511628	0.501087	0.466667	0.348837	0.347826	0.477767	1.006250	1.000000	0.250000	0.002174	0.162791	0.652174	0.350000	0.000541	0.501087	
45	1080683306	0	7	8	15	13	0.511628	0.501087	0.466667	0.348837	0.347826	0.477767	1.006250	1.000000	0.250000	0.002174	0.162791	0.652174	0.350000	0.000541	0.501087	
46	721948243	0	5	7	16	15	0.488372	0.472826	0.416667	0.279070	0.304348	0.417029	0.821429	0.000000	0.185185	-0.054348	0.116279	0.695652	0.250000	-0.013521	0.472826	
47	-2106366906	0	6	7	16	14	0.511628	0.497826	0.461538	0.302326	0.304348	0.456832	0.985714	0.000000	0.222222	-0.004348	0.139535	0.695652	0.300000	-0.001082	0.497826	
48	839737814	0	6	7	16	14	0.511628	0.497826	0.461538	0.302326	0.304348	0.456832	0.985714	0.000000	0.222222	-0.004348	0.139535	0.695652	0.300000	-0.001082	0.497826	
