Rule	ID	Consequent	TP	FP	TN	FN	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
0	1109057273	0	0	0	43	11	0,796296	0,500000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	1,000000	0,000000	-0,000000	0,500000	
1	-1915144653	0	7	4	39	4	0,851852	0,771670	0,636364	0,203704	0,093023	0,759715	6,840909	1,000000	0,466667	0,543340	0,129630	0,906977	0,636364	0,088134	0,771670	
2	1658283612	0	7	4	39	4	0,851852	0,771670	0,636364	0,203704	0,093023	0,759715	6,840909	1,000000	0,466667	0,543340	0,129630	0,906977	0,636364	0,088134	0,771670	
3	-2082366826	0	0	0	43	11	0,796296	0,500000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	1,000000	0,000000	-0,000000	0,500000	
4	-114565123	0	7	5	38	4	0,833333	0,760042	0,583333	0,222222	0,116279	0,749912	5,472727	1,000000	0,437500	0,520085	0,129630	0,883721	0,636364	0,084362	0,760042	
5	-689231607	0	0	0	43	11	0,796296	0,500000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	1,000000	0,000000	-0,000000	0,500000	
6	419797250	0	7	4	39	4	0,851852	0,771670	0,636364	0,203704	0,093023	0,759715	6,840909	1,000000	0,466667	0,543340	0,129630	0,906977	0,636364	0,088134	0,771670	
7	1765953245	0	8	4	39	3	0,870370	0,817125	0,666667	0,222222	0,093023	0,812170	7,818182	1,000000	0,533333	0,634249	0,148148	0,906977	0,727273	0,102881	0,817125	
8	712708305	0	6	4	39	5	0,833333	0,726216	0,600000	0,185185	0,093023	0,703360	5,863636	1,000000	0,400000	0,452431	0,111111	0,906977	0,545455	0,073388	0,726216	
9	930602286	0	7	4	39	4	0,851852	0,771670	0,636364	0,203704	0,093023	0,759715	6,840909	1,000000	0,466667	0,543340	0,129630	0,906977	0,636364	0,088134	0,771670	
10	-450816103	0	7	4	39	4	0,851852	0,771670	0,636364	0,203704	0,093023	0,759715	6,840909	1,000000	0,466667	0,543340	0,129630	0,906977	0,636364	0,088134	0,771670	
11	-1015262602	0	6	4	39	5	0,833333	0,726216	0,600000	0,185185	0,093023	0,703360	5,863636	1,000000	0,400000	0,452431	0,111111	0,906977	0,545455	0,073388	0,726216	
12	650024810	0	6	4	39	5	0,833333	0,726216	0,600000	0,185185	0,093023	0,703360	5,863636	1,000000	0,400000	0,452431	0,111111	0,906977	0,545455	0,073388	0,726216	
13	-460059541	0	7	4	39	4	0,851852	0,771670	0,636364	0,203704	0,093023	0,759715	6,840909	1,000000	0,466667	0,543340	0,129630	0,906977	0,636364	0,088134	0,771670	
