Rule	ID	Consequent	WRAcc_Norm	SuppDiff
0	1271769671	0	0.684421	0.368842	
1	25489376	0	0.684421	0.368842	
2	1391470121	0	0.684421	0.368842	
3	2095258831	0	0.684421	0.368842	
4	-1651195931	0	0.684421	0.368842	
5	-1304226059	0	0.684421	0.368842	
6	1660629040	0	0.684421	0.368842	
7	214843893	0	0.684421	0.368842	
8	-200648010	0	0.684421	0.368842	
9	1387048443	0	0.684421	0.368842	
10	-1103996381	0	0.684421	0.368842	
11	1610701566	0	0.684421	0.368842	
12	1265231760	0	0.684421	0.368842	
13	429280889	0	0.684421	0.368842	
14	1819977996	0	0.684421	0.368842	
15	1977351334	0	0.684421	0.368842	
16	-394765416	0	0.684421	0.368842	
17	-75012528	0	0.684421	0.368842	
18	-328205525	0	0.684421	0.368842	
19	935363657	0	0.684421	0.368842	
20	818536755	0	0.684421	0.368842	
21	696736942	0	0.684421	0.368842	
22	769821977	0	0.684421	0.368842	
23	1047197026	0	0.684421	0.368842	
24	549622800	0	0.684421	0.368842	
25	1284428188	0	0.684421	0.368842	
26	269033779	0	0.684421	0.368842	
27	-628339532	0	0.684421	0.368842	
28	893715518	0	0.684421	0.368842	
29	945021724	0	0.684421	0.368842	
30	-1232643633	0	0.684421	0.368842	
31	-40843754	0	0.684421	0.368842	
32	-1184579395	0	0.684421	0.368842	
33	994931032	0	0.684421	0.368842	
34	146200404	0	0.684421	0.368842	
35	-385792887	0	0.684421	0.368842	
36	-411680654	0	0.684421	0.368842	
37	1978096513	0	0.684421	0.368842	
38	-446987290	0	0.684421	0.368842	
39	-1959808781	1	0.642604	0.285209	
40	-365062942	1	0.642604	0.285209	
41	-782343803	1	0.642604	0.285209	
42	1560481845	1	0.642604	0.285209	
43	1940899981	1	0.642604	0.285209	
44	-411126373	1	0.642604	0.285209	
45	-236525472	2	0.635923	0.271845	
46	-1182072447	2	0.635923	0.271845	
47	-1664023391	2	0.635923	0.271845	
48	-1689969443	2	0.635923	0.271845	
49	-1287828062	2	0.635923	0.271845	
50	-1975462766	2	0.635923	0.271845	
51	-1604780157	2	0.635923	0.271845	
52	-1224628951	2	0.635923	0.271845	
53	-2016937950	2	0.635923	0.271845	
54	1846460315	2	0.635923	0.271845	
55	-921944094	2	0.635923	0.271845	
56	-1266817593	2	0.635923	0.271845	
57	-1126042908	2	0.635923	0.271845	
58	1633878727	2	0.635923	0.271845	
59	520893234	2	0.635923	0.271845	
60	-2111431315	2	0.635923	0.271845	
61	967917971	3	0.969130	0.938261	
62	-1316514901	3	0.969130	0.938261	
63	1115361499	3	0.969130	0.938261	
64	-180490473	3	0.969130	0.938261	
65	-1455358111	3	0.969130	0.938261	
66	-664175791	3	0.969130	0.938261	
67	403164056	3	0.969130	0.938261	
68	-317894240	3	0.969130	0.938261	
69	748923280	3	0.969130	0.938261	
70	254046020	3	0.969130	0.938261	
71	787813632	3	0.969130	0.938261	
72	-498504719	3	0.969130	0.938261	
73	-1426399553	3	0.969130	0.938261	
74	-518940948	3	0.969130	0.938261	
75	-575521473	3	0.969130	0.938261	
76	1102560675	3	0.969130	0.938261	
77	1272499930	3	0.969130	0.938261	
78	-334933402	3	0.969130	0.938261	
79	48124651	3	0.969130	0.938261	
80	-286612519	3	0.969130	0.938261	
81	813843841	3	0.969130	0.938261	
82	437000926	3	0.969130	0.938261	
83	-2134415012	4	0.811354	0.622707	
84	455978645	4	0.811354	0.622707	
85	-1509780895	4	0.811354	0.622707	
86	1667333279	4	0.811354	0.622707	
87	-46090699	4	0.811354	0.622707	
88	1193234966	4	0.811354	0.622707	
89	694063267	4	0.811354	0.622707	
90	653760417	4	0.811354	0.622707	
91	1608928487	4	0.811354	0.622707	
92	1281635825	4	0.811354	0.622707	
93	1415114236	4	0.811354	0.622707	
94	737574637	4	0.811354	0.622707	
95	-151138669	4	0.811354	0.622707	
96	-256759229	4	0.811354	0.622707	
97	174329990	4	0.811354	0.622707	
98	191532976	4	0.811354	0.622707	
99	-346046690	4	0.811354	0.622707	
100	1886980131	4	0.811354	0.622707	
101	1659057137	4	0.811354	0.622707	
102	-1365526464	4	0.811354	0.622707	
103	1284548127	4	0.811354	0.622707	
104	-560212648	4	0.811354	0.622707	
105	806027930	5	0.874171	0.748341	
106	549525283	5	0.874171	0.748341	
107	1557694424	5	0.874171	0.748341	
108	1609961437	5	0.874171	0.748341	
109	1458680075	5	0.874171	0.748341	
110	-103213728	5	0.874171	0.748341	
111	-1883160592	5	0.874171	0.748341	
112	-1000359895	5	0.874171	0.748341	
113	807097471	5	0.874171	0.748341	
114	8652945	5	0.874171	0.748341	
115	1770463013	5	0.874171	0.748341	
116	526026702	5	0.874171	0.748341	
117	640798503	5	0.874171	0.748341	
118	1377658626	5	0.874171	0.748341	
119	1598248875	5	0.874171	0.748341	
120	1247726519	5	0.874171	0.748341	
121	468674566	5	0.874171	0.748341	
122	-931832886	5	0.874171	0.748341	
123	1336063956	5	0.874171	0.748341	
124	2101060941	5	0.874171	0.748341	
125	-547066362	6	0.888088	0.776176	
126	-100774096	6	0.888088	0.776176	
127	-730906728	6	0.888088	0.776176	
128	-1592139605	6	0.888088	0.776176	
129	-242464281	6	0.888088	0.776176	
130	-209082122	6	0.888088	0.776176	
131	-445575951	6	0.888088	0.776176	
132	2053609541	6	0.888088	0.776176	
133	1918535312	6	0.888088	0.776176	
134	-1545714855	6	0.888088	0.776176	
135	1513086633	6	0.888088	0.776176	
136	-2122640172	6	0.888088	0.776176	
137	-411693943	6	0.888088	0.776176	
138	-804214469	6	0.888088	0.776176	
139	-537528280	6	0.888088	0.776176	
140	359384866	6	0.888088	0.776176	
141	-1692267613	6	0.888088	0.776176	
142	-88600154	6	0.888088	0.776176	
143	-848787320	6	0.888088	0.776176	
144	1845592129	6	0.888088	0.776176	
145	-1649384541	6	0.888088	0.776176	
146	-452570719	6	0.888088	0.776176	
147	-725866688	6	0.888088	0.776176	
148	-177377966	6	0.888088	0.776176	
149	1810787095	6	0.888088	0.776176	
150	-568171277	6	0.888088	0.776176	
151	-1700317647	6	0.888088	0.776176	
152	-1884535698	6	0.888088	0.776176	
153	-848569771	7	0.636251	0.272502	
154	692487956	7	0.636251	0.272502	
155	-1887232740	7	0.636251	0.272502	
156	-647876692	7	0.636251	0.272502	
157	1956807606	7	0.636251	0.272502	
158	129226923	7	0.636251	0.272502	
159	-701874495	7	0.636251	0.272502	
160	-1125829237	7	0.636251	0.272502	
161	241609666	7	0.636251	0.272502	
162	1744040148	7	0.636251	0.272502	
163	538669981	7	0.636251	0.272502	
164	-699219812	7	0.636251	0.272502	
165	1395449834	7	0.636251	0.272502	
166	1128748833	7	0.636251	0.272502	
167	-467511995	7	0.636251	0.272502	
168	-302667865	7	0.636251	0.272502	
169	-447662928	7	0.636251	0.272502	
170	-1151612072	7	0.636251	0.272502	
171	-953131262	7	0.636251	0.272502	
172	-1595436984	7	0.636251	0.272502	
173	-1127309378	7	0.636251	0.272502	
174	-422042300	7	0.636251	0.272502	
175	-710984169	7	0.636251	0.272502	
176	1604787593	7	0.636251	0.272502	
177	-1017998864	7	0.636251	0.272502	
178	-817440677	8	0.749145	0.498289	
179	-2053589465	8	0.749145	0.498289	
180	-651370762	8	0.749145	0.498289	
