@relation yeast
@attribute Mcg NUMERIC [0.11,1.0]
@attribute Gvh NUMERIC [0.13,1.0]
@attribute Alm NUMERIC [0.21,1.0]
@attribute Mit NUMERIC
@attribute Erl NUMERIC [0.5,1.0]
@attribute Pox NUMERIC
@attribute Vac NUMERIC
@attribute Nuc NUMERIC
@attribute Class {MIT,NUC,CYT,ME1,ME2,ME3,EXC,VAC,POX,ERL}
@data
0.61,0.73,0.5,0.58,0.5,0.0,0.5,0.22,MIT
0.47,0.52,0.54,0.25,0.5,0.0,0.54,0.29,MIT
0.75,0.67,0.51,0.29,0.5,0.0,0.52,0.36,MIT
0.36,0.4,0.53,0.48,0.5,0.0,0.48,0.22,MIT
0.61,0.59,0.47,0.49,0.5,0.0,0.54,0.22,MIT
0.4,0.68,0.5,0.82,0.5,0.0,0.44,0.36,MIT
0.48,0.57,0.52,0.61,0.5,0.0,0.51,0.22,MIT
0.55,0.53,0.56,0.29,0.5,0.0,0.48,0.22,MIT
0.48,0.48,0.5,0.47,0.5,0.0,0.55,0.22,MIT
0.49,0.45,0.54,0.4,0.5,0.0,0.55,0.22,MIT
0.28,0.18,0.72,0.26,0.5,0.0,0.49,0.25,MIT
0.46,0.61,0.55,0.29,0.5,0.0,0.49,0.22,MIT
0.59,0.61,0.51,0.62,0.5,0.0,0.51,0.38,MIT
0.47,0.63,0.66,0.45,0.5,0.0,0.37,0.11,MIT
0.45,0.43,0.63,0.4,0.5,0.0,0.59,0.11,MIT
0.57,0.57,0.44,0.37,0.5,0.0,0.52,0.25,MIT
0.66,0.52,0.52,0.44,0.5,0.0,0.56,0.27,MIT
0.53,0.56,0.49,0.46,0.5,0.0,0.52,0.22,MIT
0.64,0.53,0.59,0.14,0.5,0.0,0.53,0.22,MIT
0.51,0.51,0.52,0.51,0.5,0.0,0.54,0.22,MIT
0.54,0.64,0.5,0.13,0.5,0.0,0.49,0.22,MIT
0.54,0.52,0.63,0.37,0.5,0.0,0.46,0.22,MIT
0.43,0.32,0.5,0.29,0.5,0.0,0.5,0.22,MIT
0.42,0.31,0.62,0.12,0.5,0.0,0.4,0.22,MIT
0.64,0.62,0.29,0.28,0.5,0.0,0.51,0.22,MIT
0.6,0.5,0.44,0.61,0.5,0.0,0.47,0.22,MIT
0.67,0.51,0.53,0.28,0.5,0.0,0.51,0.22,MIT
0.56,0.59,0.45,0.15,0.5,0.0,0.54,0.22,MIT
0.61,0.46,0.51,0.37,0.5,0.0,0.51,0.22,MIT
0.47,0.45,0.53,0.62,0.5,0.0,0.46,0.22,MIT
0.41,0.52,0.53,0.41,0.5,0.0,0.39,0.33,MIT
0.58,0.57,0.54,0.69,0.5,0.0,0.54,0.22,MIT
0.4,0.52,0.53,0.52,0.5,0.0,0.51,0.22,MIT
0.78,0.65,0.4,0.16,0.5,0.0,0.63,0.22,MIT
0.5,0.4,0.56,0.7,0.5,0.0,0.5,0.22,MIT
0.6,0.51,0.6,0.38,0.5,0.83,0.52,0.24,MIT
0.45,0.58,0.48,0.67,0.5,0.0,0.52,0.22,MIT
0.5,0.32,0.49,0.49,0.5,0.0,0.48,0.32,MIT
0.42,0.57,0.72,0.22,0.5,0.0,0.57,0.22,MIT
0.38,0.47,0.47,0.18,0.5,0.0,0.44,0.26,MIT
0.38,0.68,0.44,0.45,0.5,0.0,0.53,0.22,MIT
0.23,0.37,0.32,0.13,0.5,0.0,0.53,0.22,MIT
0.55,0.41,0.67,0.61,0.5,0.0,0.49,0.14,MIT
0.48,0.47,0.54,0.55,0.5,0.0,0.51,0.65,MIT
0.53,0.61,0.51,0.49,0.5,0.0,0.54,0.27,MIT
0.81,0.65,0.52,0.41,0.5,0.0,0.57,0.26,MIT
0.59,0.45,0.58,0.21,0.5,0.0,0.49,0.22,MIT
0.51,0.51,0.43,0.87,0.5,0.0,0.52,0.22,MIT
0.61,0.72,0.39,0.33,0.5,0.0,0.58,0.22,MIT
0.43,0.44,0.64,0.19,0.5,0.0,0.38,0.33,NUC
0.5,0.45,0.49,0.3,0.5,0.0,0.47,0.4,NUC
0.53,0.54,0.43,0.1,0.5,0.0,0.57,0.32,NUC
0.59,0.53,0.47,0.26,0.5,0.0,0.53,0.31,NUC
0.53,0.53,0.53,0.17,0.5,0.0,0.49,0.37,NUC
0.57,0.37,0.43,0.27,0.5,0.0,0.53,0.28,NUC
0.51,0.56,0.62,0.24,0.5,0.0,0.52,0.51,NUC
0.34,0.48,0.47,0.19,0.5,0.0,0.5,0.3,NUC
0.56,0.51,0.32,0.49,0.5,0.0,0.48,0.22,NUC
0.4,0.4,0.44,0.37,0.5,0.0,0.53,0.25,NUC
0.6,0.6,0.49,0.3,0.5,0.0,0.53,0.22,NUC
0.44,0.53,0.52,0.37,0.5,0.0,0.5,0.22,NUC
0.47,0.47,0.5,0.15,0.5,0.0,0.5,0.48,NUC
0.33,0.38,0.47,0.14,0.5,0.0,0.51,0.47,NUC
0.58,0.37,0.58,0.16,0.5,0.0,0.51,0.22,NUC
0.35,0.58,0.54,0.16,0.5,0.0,0.51,0.22,NUC
0.18,0.48,0.46,0.12,0.5,0.0,0.0,0.25,NUC
0.45,0.51,0.43,0.22,0.5,0.0,0.57,0.22,NUC
0.23,0.2,0.53,0.2,0.5,0.0,0.44,0.22,NUC
0.56,0.59,0.54,0.18,0.5,0.0,0.48,0.46,NUC
0.47,0.5,0.47,0.22,0.5,0.0,0.53,0.45,NUC
0.4,0.53,0.44,0.18,0.5,0.0,0.54,0.31,NUC
0.35,0.6,0.47,0.13,0.5,0.0,0.52,0.43,NUC
0.33,0.21,0.53,0.15,1.0,0.0,0.52,0.5,NUC
0.43,0.51,0.54,0.15,0.5,0.0,0.45,0.26,NUC
0.55,0.59,0.53,0.15,0.5,0.0,0.49,0.22,NUC
0.56,0.63,0.52,0.2,0.5,0.0,0.34,0.26,NUC
0.51,0.5,0.54,0.11,0.5,0.0,0.6,0.22,NUC
0.42,0.21,0.59,0.3,0.5,0.0,0.47,0.27,NUC
0.56,0.57,0.63,0.39,1.0,0.0,0.59,0.4,NUC
0.59,0.58,0.56,0.21,0.5,0.0,0.54,0.33,NUC
0.39,0.35,0.49,0.17,0.5,0.0,0.49,0.22,NUC
0.45,0.41,0.58,0.48,0.5,0.0,0.53,0.64,NUC
0.37,0.44,0.51,0.56,0.5,0.0,0.5,0.38,NUC
0.55,0.79,0.45,0.25,0.5,0.0,0.51,0.22,NUC
0.37,0.34,0.58,0.24,0.5,0.0,0.44,0.18,NUC
0.43,0.39,0.51,0.28,0.5,0.0,0.4,0.22,NUC
0.48,0.54,0.53,0.6,0.5,0.0,0.53,0.31,NUC
0.67,0.46,0.58,0.3,0.5,0.0,0.57,0.27,NUC
0.3,0.55,0.58,0.16,0.5,0.0,0.61,0.28,NUC
0.44,0.41,0.44,0.13,0.5,0.0,0.49,0.42,NUC
0.43,0.39,0.54,0.14,0.5,0.0,0.47,0.22,NUC
0.58,0.56,0.38,0.39,0.5,0.0,0.54,0.57,NUC
0.51,0.48,0.58,0.22,0.5,0.0,0.5,0.28,NUC
0.55,0.4,0.62,0.22,0.5,0.0,0.37,0.28,NUC
0.7,0.53,0.42,0.22,0.5,0.0,0.51,0.28,NUC
0.49,0.38,0.49,0.15,0.5,0.0,0.53,0.25,NUC
0.56,0.45,0.59,0.14,0.5,0.0,0.51,0.26,NUC
0.34,0.47,0.48,0.32,0.5,0.0,0.42,0.22,NUC
0.33,0.17,0.52,0.13,0.5,0.0,0.51,0.75,NUC
0.4,0.49,0.53,0.23,0.5,0.0,0.44,0.26,NUC
0.37,0.42,0.6,0.13,0.5,0.0,0.51,0.22,NUC
0.35,0.41,0.53,0.27,0.5,0.0,0.47,0.29,NUC
0.54,0.52,0.54,0.2,0.5,0.0,0.55,0.25,NUC
0.47,0.45,0.51,0.33,0.5,0.0,0.46,0.26,NUC
0.3,0.32,0.57,0.19,0.5,0.0,0.48,0.55,NUC
0.61,0.3,0.59,0.12,0.5,0.0,0.49,0.27,NUC
0.48,0.54,0.5,0.17,0.5,0.0,0.53,0.22,NUC
0.87,0.47,0.6,0.47,0.5,0.0,0.59,0.22,NUC
0.45,0.51,0.5,0.16,0.5,0.0,0.52,1.0,NUC
0.44,0.62,0.53,0.27,0.5,0.0,0.49,0.22,NUC
0.58,0.51,0.56,0.16,0.5,0.0,0.34,0.22,NUC
0.54,0.57,0.52,0.19,0.5,0.0,0.59,0.67,NUC
0.5,0.36,0.64,0.37,0.5,0.0,0.37,0.33,NUC
0.38,0.44,0.57,0.14,0.5,0.0,0.53,0.52,NUC
0.33,0.46,0.53,0.29,0.5,0.0,0.5,0.55,NUC
0.42,0.28,0.49,0.22,0.5,0.0,0.55,0.34,NUC
0.4,0.66,0.34,0.21,0.5,0.0,0.52,0.26,NUC
0.48,0.45,0.63,0.19,0.5,0.0,0.58,0.22,NUC
0.54,0.67,0.56,0.15,0.5,0.0,0.57,0.33,NUC
0.27,0.51,0.47,0.35,0.5,0.0,0.49,0.28,NUC
0.35,0.68,0.57,0.4,0.5,0.0,0.53,0.36,NUC
0.37,0.34,0.58,0.24,0.5,0.0,0.44,0.18,NUC
0.49,0.36,0.47,0.28,0.5,0.0,0.56,0.54,NUC
0.33,0.39,0.52,0.09,0.5,0.0,0.47,0.28,NUC
0.33,0.28,0.5,0.4,0.5,0.0,0.46,0.61,NUC
0.39,0.16,0.59,0.08,0.5,0.0,0.51,0.27,NUC
0.39,0.42,0.49,0.1,0.5,0.0,0.49,0.65,NUC
0.67,0.71,0.52,0.65,0.5,0.0,0.53,0.36,NUC
0.25,0.36,0.58,0.3,0.5,0.0,0.58,0.31,NUC
0.36,0.44,0.51,0.17,0.5,0.0,0.6,0.19,NUC
0.3,0.3,0.46,0.32,0.5,0.0,0.45,0.22,NUC
0.11,0.41,0.67,0.13,0.5,0.0,0.45,0.29,NUC
0.53,0.25,0.59,0.27,0.5,0.0,0.45,0.26,NUC
0.19,0.16,0.68,0.36,0.5,0.0,0.49,0.21,NUC
0.69,0.62,0.49,0.0,1.0,0.0,0.47,0.22,NUC
0.5,0.46,0.49,0.27,0.5,0.0,0.6,0.22,CYT
0.6,0.5,0.57,0.25,0.5,0.0,0.41,0.26,CYT
0.48,0.42,0.52,0.24,0.5,0.0,0.56,0.22,CYT
0.52,0.48,0.58,0.55,0.5,0.0,0.48,0.22,CYT
0.35,0.39,0.56,0.2,0.5,0.0,0.49,0.41,CYT
0.57,0.43,0.52,0.3,0.5,0.0,0.37,0.11,CYT
0.35,0.21,1.0,0.8,0.5,0.0,0.13,0.01,CYT
0.49,0.43,0.51,0.13,0.5,0.0,0.47,0.22,CYT
0.49,0.6,0.55,0.17,0.5,0.0,0.44,0.22,CYT
0.39,0.45,0.51,0.29,0.5,0.0,0.54,0.22,CYT
0.45,0.5,0.57,0.29,0.5,0.0,0.44,0.11,CYT
0.57,0.49,0.5,0.2,0.5,0.0,0.51,0.28,CYT
0.42,0.5,0.59,0.17,0.5,0.0,0.51,0.22,CYT
0.41,0.35,0.6,0.22,0.5,0.0,0.56,0.79,CYT
0.36,0.46,0.62,0.46,0.5,0.0,0.51,0.33,CYT
0.59,0.65,0.52,0.3,0.5,0.0,0.46,0.31,CYT
0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22,CYT
0.58,0.45,0.48,0.24,0.5,0.0,0.52,0.37,CYT
0.51,0.51,0.56,0.28,0.5,0.0,0.54,0.27,CYT
0.43,0.33,0.54,0.37,0.5,0.0,0.38,0.16,CYT
0.32,0.44,0.54,0.21,0.5,0.0,0.4,0.19,CYT
0.28,0.27,0.5,0.14,0.5,0.0,0.5,0.28,CYT
0.54,0.55,0.56,0.14,0.5,0.0,0.5,0.25,CYT
0.48,0.34,0.47,0.14,0.5,0.0,0.47,0.26,CYT
0.61,0.38,0.57,0.36,0.5,0.0,0.44,0.21,CYT
0.29,0.34,0.55,0.24,0.5,0.0,0.51,0.22,CYT
0.41,0.4,0.56,0.17,0.5,0.0,0.56,0.22,CYT
0.73,0.63,0.42,0.3,0.5,0.0,0.49,0.22,CYT
0.48,0.39,0.51,0.21,0.5,0.0,0.52,0.28,CYT
0.59,0.58,0.46,0.19,0.5,0.0,0.56,0.27,CYT
0.64,0.56,0.56,0.22,0.5,0.0,0.45,0.22,CYT
0.35,0.21,1.0,0.8,0.5,0.0,0.13,0.01,CYT
0.48,0.46,0.58,0.16,0.5,0.0,0.45,0.22,CYT
0.19,0.41,0.55,0.13,0.5,0.0,0.52,0.25,CYT
0.5,0.46,0.52,0.16,0.5,0.0,0.52,0.26,CYT
0.45,0.56,0.49,0.17,0.5,0.0,0.52,0.22,CYT
0.61,0.46,0.54,0.11,0.5,0.0,0.47,0.22,CYT
0.53,0.51,0.46,0.28,0.5,0.0,0.48,0.22,CYT
0.45,0.76,0.51,0.25,0.5,0.0,0.59,0.22,CYT
0.35,0.46,0.49,0.15,1.0,0.0,0.55,0.35,CYT
0.43,0.51,0.6,0.25,0.5,0.0,0.55,0.22,CYT
0.52,0.45,0.53,0.34,0.5,0.0,0.52,0.44,CYT
0.52,0.43,0.61,0.22,0.5,0.0,0.45,0.22,CYT
0.52,0.46,0.51,0.18,0.5,0.0,0.5,0.22,CYT
0.51,0.35,0.46,0.15,0.5,0.0,0.51,0.42,CYT
0.52,0.47,0.58,0.18,0.5,0.0,0.34,0.11,CYT
0.71,0.59,0.53,0.15,0.5,0.0,0.49,0.33,CYT
0.46,0.52,0.51,0.13,0.5,0.0,0.47,0.22,CYT
0.46,0.54,0.59,0.41,0.5,0.0,0.53,0.21,CYT
0.42,0.43,0.56,0.1,0.5,0.0,0.49,0.22,CYT
0.61,0.48,0.56,0.19,0.5,0.0,0.53,0.31,CYT
0.38,0.43,0.53,0.22,0.5,0.0,0.48,0.11,CYT
