Rule	ID	Consequent	TP	FP	TN	FN	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
0	-568625456	0	14	9	241	35	0.852843	0.624857	0.608696	0.076923	0.036000	0.524813	7.936508	1.000000	0.241379	0.249714	0.046823	0.964000	0.285714	0.034217	0.624857	
1	-521604035	0	48	234	16	1	0.214047	0.521796	0.170213	0.943144	0.936000	0.250387	1.046572	1.000000	0.169611	0.043592	0.160535	0.064000	0.979592	0.005973	0.521796	
2	534743386	0	14	10	240	35	0.849498	0.622857	0.583333	0.080268	0.040000	0.523723	7.142857	1.000000	0.237288	0.245714	0.046823	0.960000	0.285714	0.033669	0.622857	
3	1274490998	0	0	6	244	49	0.816054	0.488000	0.000000	0.020067	0.024000	0.000000	0.000000	0.000000	0.000000	-0.024000	0.000000	0.976000	0.000000	-0.003289	0.488000	
4	1273724678	0	14	9	241	35	0.852843	0.624857	0.608696	0.076923	0.036000	0.524813	7.936508	1.000000	0.241379	0.249714	0.046823	0.964000	0.285714	0.034217	0.624857	
5	1048225636	0	14	9	241	35	0.852843	0.624857	0.608696	0.076923	0.036000	0.524813	7.936508	1.000000	0.241379	0.249714	0.046823	0.964000	0.285714	0.034217	0.624857	
6	-520907632	0	14	10	240	35	0.849498	0.622857	0.583333	0.080268	0.040000	0.523723	7.142857	1.000000	0.237288	0.245714	0.046823	0.960000	0.285714	0.033669	0.622857	
7	-302897944	0	14	9	241	35	0.852843	0.624857	0.608696	0.076923	0.036000	0.524813	7.936508	1.000000	0.241379	0.249714	0.046823	0.964000	0.285714	0.034217	0.624857	
8	69377847	0	14	10	240	35	0.849498	0.622857	0.583333	0.080268	0.040000	0.523723	7.142857	1.000000	0.237288	0.245714	0.046823	0.960000	0.285714	0.033669	0.622857	
9	1979729582	0	14	10	240	35	0.849498	0.622857	0.583333	0.080268	0.040000	0.523723	7.142857	1.000000	0.237288	0.245714	0.046823	0.960000	0.285714	0.033669	0.622857	
10	-1924939648	0	14	9	241	35	0.852843	0.624857	0.608696	0.076923	0.036000	0.524813	7.936508	1.000000	0.241379	0.249714	0.046823	0.964000	0.285714	0.034217	0.624857	
11	848274319	0	14	10	240	35	0.849498	0.622857	0.583333	0.080268	0.040000	0.523723	7.142857	1.000000	0.237288	0.245714	0.046823	0.960000	0.285714	0.033669	0.622857	
12	-1771037367	0	48	232	18	1	0.220736	0.525796	0.171429	0.936455	0.928000	0.265576	1.055595	1.000000	0.170819	0.051592	0.160535	0.072000	0.979592	0.007069	0.525796	
13	-293609068	0	0	0	250	49	0.836120	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
14	1656499536	0	0	2	248	49	0.829431	0.496000	0.000000	0.006689	0.008000	0.000000	0.000000	0.000000	0.000000	-0.008000	0.000000	0.992000	0.000000	-0.001096	0.496000	
